transaction_id,customer_id,merchant_id,amount,transaction_time,transaction_type,channel,device_id,ip_address,geo_location,transaction_velocity_1h,transaction_velocity_24h,avg_spend_7d,customer_risk_score,account_age_days,card_present,international_flag,previous_fraud_history,merchant_category,is_fraud
28,84047,4144,34665.71,2024-10-10 16:00:00,NetBanking,Web,296097,192.168.81.67,Mumbai,0,28,32562.63,0.305,3243,1,0,0,Electronics,0
29,59088,9416,14041.44,2024-11-09 07:01:00,ATM,Mobile,309924,192.168.121.180,Bangalore,9,9,49060.81,0.798,2743,0,0,0,E-commerce,0
30,49906,9154,8878.32,2024-08-21 19:26:00,NetBanking,Branch,805023,192.168.191.57,Hyderabad,6,30,15225.01,0.233,1307,1,0,0,E-commerce,0
31,50540,1928,25194.37,2024-08-10 06:43:00,NetBanking,Card,350328,192.168.241.112,Chennai,4,24,55235.18,0.946,3480,0,0,0,Others,0
32,30451,9919,37533.27,2024-06-18 08:20:00,ATM,Branch,511260,192.168.124.96,Chennai,0,15,8550.9,0.094,1557,0,0,0,Food,0
33,18292,6715,13516.45,2024-06-27 17:24:00,UPI,Mobile,952889,192.168.9.192,Bangalore,3,18,59720.11,0.245,2117,1,0,0,Travel,0
34,59912,5982,36115.85,2024-01-29 19:36:00,NetBanking,Branch,275819,192.168.117.119,Mumbai,4,28,36205.22,0.488,2886,1,0,0,Electronics,0
35,89909,8130,23125.66,2024-02-22 12:55:00,POS,Web,196176,192.168.133.88,Bangalore,6,37,20577.14,0.467,4046,0,0,0,E-commerce,0
36,15743,5359,20218.45,2024-09-06 16:11:00,ATM,Branch,662407,192.168.33.74,Delhi,0,22,1692.21,0.886,287,1,0,0,Bills,0
37,87245,3388,18008.07,2024-07-19 17:09:00,UPI,Web,131280,192.168.139.213,Mumbai,8,27,38078.68,0.02,1628,0,0,0,Others,0
38,84485,5766,7321.77,2024-03-04 12:08:00,ATM,Web,675498,192.168.111.53,Pune,0,9,57274.54,0.794,3798,0,0,0,E-commerce,0
39,34908,7524,16665.06,2024-05-09 01:48:00,POS,Web,318340,192.168.68.117,Chennai,5,9,46909.82,0.15,3560,1,0,0,Travel,0
40,66849,7143,43968.61,2024-08-23 21:20:00,POS,Branch,396325,192.168.233.107,Chennai,8,16,15758.96,0.223,922,0,0,0,E-commerce,1
41,24870,2528,5153.24,2024-03-09 23:21:00,UPI,Card,451045,192.168.66.120,Pune,7,15,45846.04,0.069,677,1,0,0,Electronics,0
42,78227,9442,47917.09,2024-03-17 22:03:00,NetBanking,Card,229691,192.168.233.170,Chennai,7,24,43307.38,0.658,4717,1,0,0,Electronics,1
43,73046,3562,5419.45,2024-11-17 04:34:00,ATM,Mobile,910887,192.168.183.226,Hyderabad,2,36,1156.92,0.413,3924,1,0,0,Food,0
44,41906,8378,18133.48,2024-06-16 04:29:00,UPI,Mobile,607430,192.168.6.40,Mumbai,2,33,10982.55,0.257,2861,0,0,0,Others,0
45,16112,3806,30334.99,2024-06-17 02:36:00,POS,Card,418595,192.168.58.182,Delhi,0,35,43871.87,0.838,3011,1,0,0,Electronics,0
46,97361,1570,41900.18,2024-01-27 18:49:00,POS,Card,607415,192.168.53.36,Mumbai,7,9,52553.12,0.945,1750,0,0,0,Electronics,1
47,50111,9966,7221.96,2024-01-30 02:39:00,NetBanking,Web,388573,192.168.108.1,Mumbai,9,10,28216.27,0.527,1142,0,1,0,Bills,1
48,90380,6298,7098.06,2024-08-25 01:21:00,UPI,Mobile,511257,192.168.224.2,Chennai,0,5,47868.69,0.801,1398,0,0,0,Bills,0
49,71012,2930,31437.49,2024-04-20 06:44:00,ATM,Mobile,229193,192.168.38.228,Chennai,5,31,36258.64,0.077,3234,1,0,1,Food,0
50,80053,1002,14672.69,2024-04-12 01:47:00,ATM,Web,972890,192.168.251.215,Hyderabad,9,34,15595.93,0.688,1250,0,0,0,E-commerce,0
51,78390,2162,32242.88,2024-03-07 05:58:00,POS,Web,800729,192.168.125.83,Bangalore,0,13,16637.71,0.459,3997,1,0,0,Grocery,0
52,27517,2528,41038.13,2024-10-02 00:15:00,NetBanking,Mobile,388460,192.168.233.165,Hyderabad,3,38,17935.28,0.736,2748,0,0,0,E-commerce,0
53,42751,9330,3889.68,2024-12-08 19:47:00,UPI,Card,591583,192.168.10.38,Chennai,6,35,51220.42,0.129,792,1,0,0,E-commerce,0
54,52004,2592,42232.48,2024-04-05 02:21:00,POS,Card,552522,192.168.228.192,Mumbai,6,2,18167.39,0.92,888,0,0,0,Grocery,1
55,54800,2457,1927.39,2024-03-29 17:13:00,ATM,Branch,154770,192.168.19.254,Delhi,5,24,49525.71,0.88,1912,1,0,0,Food,0
56,13942,8539,44946.37,2024-10-11 14:00:00,ATM,Mobile,671838,192.168.144.240,Delhi,3,38,29928.75,0.378,746,0,0,0,Travel,0
57,59190,8912,48782.13,2024-07-03 20:02:00,NetBanking,Mobile,566989,192.168.244.161,Mumbai,9,0,31615.21,0.116,2163,1,0,0,Travel,0
58,23885,2880,33389.39,2024-10-16 21:03:00,POS,Branch,721487,192.168.14.113,Mumbai,5,29,32264.96,0.321,3936,0,0,0,Food,0
59,76903,6853,49213.55,2024-09-29 02:46:00,UPI,Web,320015,192.168.228.93,Hyderabad,8,7,8552.95,0.796,588,0,0,1,Bills,1
60,71473,5809,41108.49,2024-10-17 09:02:00,ATM,Web,860807,192.168.78.70,Hyderabad,2,36,1518.03,0.076,529,0,0,1,Travel,1
61,93026,6191,2266.06,2024-02-27 20:33:00,POS,Card,765386,192.168.170.21,Hyderabad,4,39,46983.55,0.484,2403,0,0,0,Travel,0
62,77027,3801,240.36,2024-07-14 07:55:00,UPI,Web,298760,192.168.111.53,Delhi,9,0,44639.44,0.064,4516,0,0,0,Bills,0
63,42997,7761,1088.88,2024-06-08 16:23:00,POS,Card,606958,192.168.225.142,Delhi,6,29,58752.82,0.799,1532,1,0,0,Food,0
64,97074,8927,22622.75,2024-11-12 09:35:00,ATM,Card,876112,192.168.68.69,Hyderabad,6,37,29243.2,0.046,774,1,0,0,Bills,0
65,46976,7533,31187.96,2024-08-26 10:44:00,UPI,Branch,126028,192.168.188.185,Pune,6,17,11616.7,0.661,3706,0,0,0,Others,1
66,39323,9127,24099.52,2024-09-28 22:24:00,NetBanking,Web,191143,192.168.225.195,Delhi,0,7,26593.08,0.323,185,1,0,0,Travel,0
67,91497,1994,33872.66,2024-11-17 21:54:00,ATM,Card,840570,192.168.38.121,Chennai,7,28,2405.63,0.924,3960,0,0,0,Others,1
68,43341,6912,22507.65,2024-09-09 01:01:00,ATM,Mobile,158386,192.168.0.230,Mumbai,2,3,17759.51,0.286,1369,0,0,0,Bills,0
69,16870,9994,2176.06,2024-08-26 17:56:00,UPI,Card,426417,192.168.194.207,Pune,4,38,11502.8,0.524,489,0,0,0,Others,0
70,52259,5820,11347.03,2024-07-12 09:08:00,UPI,Web,883979,192.168.186.19,Delhi,0,34,1734.53,0.592,2942,0,0,0,Travel,0
71,81610,9476,49631.58,2024-01-30 05:32:00,UPI,Card,792342,192.168.171.204,Hyderabad,3,39,38910.4,0.828,1309,1,0,0,Grocery,0
72,27052,4135,17325.9,2024-09-20 02:12:00,POS,Web,392584,192.168.162.211,Hyderabad,1,31,51312.59,0.817,4636,0,0,1,Bills,0
73,51664,9068,16272.05,2024-04-27 08:52:00,ATM,Branch,623413,192.168.151.88,Pune,5,27,36060.5,0.37,1209,0,0,0,Food,0
74,21692,9448,7681.96,2024-02-15 00:05:00,ATM,Branch,816748,192.168.102.125,Hyderabad,0,17,36861.86,0.039,185,0,0,0,Grocery,0
75,71782,6599,49357.83,2024-05-08 02:09:00,POS,Web,458868,192.168.76.17,Bangalore,7,3,41964.64,0.75,424,0,0,0,Electronics,0
76,52812,7340,11561.44,2024-05-06 15:50:00,ATM,Mobile,796640,192.168.125.67,Bangalore,9,33,52435.37,0.808,3209,1,0,0,Electronics,0
77,39717,5704,32358.99,2024-05-21 17:16:00,ATM,Web,856697,192.168.131.242,Pune,5,14,43409.12,0.68,946,0,0,0,Grocery,0
78,30421,3852,2150.27,2024-04-12 05:32:00,ATM,Branch,707922,192.168.172.237,Pune,6,35,22682.2,0.347,1579,1,0,0,Others,0
79,60804,5825,3370.29,2024-12-09 16:34:00,NetBanking,Card,713860,192.168.211.174,Bangalore,7,9,49451.08,0.865,560,0,0,0,Travel,0
80,70282,9660,35851.75,2024-11-18 12:10:00,NetBanking,Web,284098,192.168.35.4,Mumbai,5,0,34028.51,0.999,220,0,0,0,Food,0
81,94626,1134,31776.65,2024-01-14 00:45:00,ATM,Card,854147,192.168.40.6,Delhi,0,13,52871.41,0.359,1150,0,0,0,Travel,0
82,49343,2845,34024.11,2024-06-30 06:58:00,ATM,Card,482195,192.168.126.151,Mumbai,6,2,41521.73,0.696,4899,1,0,0,Bills,1
83,24461,5494,11586.97,2024-04-20 07:02:00,ATM,Mobile,583976,192.168.140.58,Mumbai,9,30,31725.93,0.688,4477,1,0,0,Grocery,0
84,84940,4054,49245.2,2024-11-05 20:03:00,UPI,Web,828423,192.168.109.166,Mumbai,6,23,38975.23,0.242,2309,0,0,0,Electronics,0
85,66678,6613,27940.84,2024-06-28 17:54:00,POS,Branch,383688,192.168.75.24,Chennai,1,7,43079.14,0.367,4716,1,0,0,E-commerce,0
86,73023,4244,48478.93,2024-08-19 11:59:00,POS,Mobile,188330,192.168.42.251,Bangalore,5,1,9370.45,0.826,3675,1,0,0,Bills,0
87,18750,6927,8250.32,2024-02-01 12:49:00,ATM,Web,114333,192.168.54.29,Chennai,9,0,44287.56,0.695,2183,1,0,0,E-commerce,0
88,38112,1956,20284.72,2024-09-17 07:12:00,ATM,Card,555380,192.168.213.85,Chennai,7,25,24815.21,0.882,1986,1,0,0,E-commerce,0
89,79105,3988,16817.49,2024-06-25 11:47:00,NetBanking,Card,602611,192.168.244.24,Mumbai,4,26,46349.74,0.981,2800,1,0,0,E-commerce,0
90,84902,7234,37765.99,2024-11-15 10:49:00,UPI,Mobile,238277,192.168.13.97,Pune,5,13,44252.53,0.418,697,1,0,0,Grocery,0
91,49169,5241,37391.19,2024-02-09 02:26:00,NetBanking,Branch,640813,192.168.229.85,Delhi,9,34,1725.59,0.713,3946,1,0,0,Food,1
92,82427,7422,24352.86,2024-04-20 13:54:00,POS,Web,192006,192.168.184.164,Hyderabad,1,20,33614.83,0.901,4286,1,0,0,Bills,0
93,85751,6726,856.59,2024-11-01 18:58:00,NetBanking,Card,658479,192.168.19.219,Bangalore,2,25,22369.45,0.876,3370,1,0,0,Travel,0
94,44872,3956,8801.53,2024-03-26 10:32:00,POS,Card,497317,192.168.30.206,Delhi,1,36,3073.39,0.502,1246,1,0,0,Food,0
95,90826,4854,2560.77,2024-04-08 13:56:00,NetBanking,Card,993075,192.168.29.186,Hyderabad,8,4,15803.7,0.372,3825,1,0,0,Electronics,0
96,35949,9681,42358.38,2024-04-20 07:25:00,POS,Card,378578,192.168.228.254,Bangalore,0,29,58274.23,0.913,2602,0,0,0,Food,0
97,31559,9658,14524.09,2024-07-09 21:34:00,POS,Branch,809889,192.168.171.11,Chennai,1,19,33374.96,0.932,2251,0,0,0,Travel,0
98,71423,1320,5940.24,2024-01-20 22:22:00,ATM,Mobile,838710,192.168.8.201,Bangalore,1,14,39740.89,0.902,699,0,0,0,Travel,0
99,67307,7348,17740.91,2024-08-13 16:27:00,NetBanking,Mobile,945031,192.168.118.33,Delhi,7,26,4450.9,0.61,877,1,0,0,Others,0
100,22577,5418,3910.6,2024-10-22 13:13:00,ATM,Card,539166,192.168.68.155,Chennai,0,36,52325.78,0.453,775,1,0,0,Grocery,0
101,84945,1011,48943.91,2024-04-21 14:09:00,POS,Branch,555735,192.168.24.206,Delhi,0,37,10611.51,0.74,1544,1,0,0,Bills,0
102,27991,6706,15784.64,2024-03-03 12:40:00,ATM,Card,766959,192.168.200.168,Hyderabad,4,19,13795.67,0.522,4858,1,0,0,Electronics,0
103,82440,1209,46656.68,2024-05-08 05:31:00,NetBanking,Web,556715,192.168.140.29,Pune,3,21,18613.29,0.382,682,1,0,0,E-commerce,0
104,10662,3869,34152.3,2024-08-23 14:04:00,NetBanking,Card,695197,192.168.102.46,Hyderabad,1,15,46062.68,0.498,1929,0,0,0,Food,0
105,81715,7212,28327.04,2024-07-05 08:07:00,UPI,Mobile,513026,192.168.145.226,Mumbai,9,37,32927.79,0.589,822,0,0,0,Grocery,0
106,80822,8313,23801.08,2024-08-08 08:28:00,POS,Card,956172,192.168.225.232,Bangalore,6,37,11206.74,0.344,4752,1,0,0,Travel,0
107,80232,4713,34384.64,2024-10-20 23:36:00,POS,Web,990044,192.168.87.190,Delhi,7,20,49704.87,0.041,1891,1,0,0,E-commerce,0
108,69835,8278,34329.45,2024-12-11 23:02:00,ATM,Mobile,334019,192.168.113.74,Hyderabad,9,0,35423.23,0.762,683,1,0,0,E-commerce,0
109,52440,8554,575.53,2024-06-14 05:34:00,ATM,Card,217090,192.168.194.63,Delhi,6,14,2754.87,0.545,2671,0,0,0,Electronics,0
110,73464,5027,45393.8,2024-10-04 14:27:00,POS,Card,802716,192.168.165.18,Delhi,2,21,10699.26,0.05,2287,0,0,0,Others,0
111,34940,2556,18429.77,2024-06-28 04:14:00,NetBanking,Card,273920,192.168.152.119,Mumbai,5,32,51771.21,0.512,987,1,0,0,Food,0
112,80264,6932,17695.99,2024-02-20 10:58:00,ATM,Mobile,268860,192.168.18.100,Mumbai,0,37,54244.85,0.361,1191,1,1,0,Bills,0
113,60007,1124,20359.2,2024-08-05 11:46:00,ATM,Web,850992,192.168.232.62,Bangalore,7,2,35431.53,0.483,2431,0,0,0,Food,0
114,51301,9038,34279.88,2024-12-13 20:11:00,NetBanking,Web,876053,192.168.100.165,Mumbai,6,37,54986.95,0.496,1802,1,0,0,Others,0
115,55504,4492,18832.09,2024-06-04 04:51:00,NetBanking,Web,151575,192.168.32.52,Delhi,9,8,14737.37,0.994,4629,1,0,0,E-commerce,0
116,61186,7839,18722.86,2024-07-16 04:38:00,POS,Web,886160,192.168.79.22,Hyderabad,3,6,40057.79,0.346,2756,1,0,0,Electronics,0
117,13353,7623,3220.07,2024-09-22 00:26:00,POS,Mobile,990759,192.168.120.110,Pune,0,37,55329.22,0.039,4961,1,0,0,Bills,0
118,22581,5255,20861.25,2024-10-29 21:39:00,UPI,Web,835686,192.168.45.185,Hyderabad,3,32,54768.35,0.596,4008,1,0,0,Food,0
119,32093,9744,7516.45,2024-01-02 18:59:00,UPI,Mobile,302927,192.168.144.46,Delhi,2,36,45255.8,0.3,2623,0,0,0,Others,0
120,20307,8166,42786.68,2024-01-21 19:25:00,UPI,Mobile,388917,192.168.68.149,Hyderabad,9,14,29778.24,0.751,1603,0,0,0,Others,1
121,49564,8952,16758.83,2024-06-25 07:15:00,ATM,Branch,674934,192.168.74.22,Delhi,7,20,37068.03,0.845,3822,0,0,0,Food,0
122,70155,1845,48045.33,2024-02-10 20:06:00,UPI,Mobile,232046,192.168.196.68,Chennai,3,30,6723.54,0.439,3124,1,0,0,Travel,0
123,68897,5356,34242.17,2024-12-02 21:37:00,ATM,Branch,844084,192.168.163.212,Mumbai,9,26,21930.09,0.74,758,1,0,0,Others,0
124,52398,9566,37819.77,2024-09-14 04:10:00,UPI,Card,858922,192.168.16.37,Chennai,3,0,29570.86,0.892,1296,0,0,0,Grocery,0
125,86956,8314,47390.17,2024-08-12 19:19:00,NetBanking,Card,864794,192.168.67.169,Delhi,7,32,14226.12,0.984,1481,0,0,0,Others,1
126,60870,5086,11984.79,2024-08-01 01:48:00,ATM,Branch,630620,192.168.1.3,Hyderabad,2,0,16614.8,0.66,3067,1,0,0,Travel,0
127,17127,1632,28386.18,2024-06-26 12:51:00,UPI,Card,937514,192.168.207.139,Delhi,1,3,31303.57,0.913,721,0,0,0,E-commerce,0
128,78849,3539,2084.25,2024-01-19 03:37:00,UPI,Web,503208,192.168.33.61,Delhi,7,8,41561.37,0.195,2243,0,0,0,Travel,0
129,61713,6149,5082.9,2024-10-08 18:56:00,UPI,Card,425237,192.168.137.56,Bangalore,6,27,43669.86,0.275,4363,0,0,0,Others,0
130,67124,6776,18361.02,2024-06-23 12:57:00,POS,Card,471352,192.168.33.128,Bangalore,5,23,44847.01,0.206,79,0,0,0,Electronics,0
131,60883,9317,34140.97,2024-05-23 10:41:00,NetBanking,Card,329673,192.168.19.251,Bangalore,1,34,30785.6,0.676,1401,0,0,0,Others,0
132,59821,1835,41593.1,2024-06-08 08:51:00,ATM,Card,191199,192.168.189.59,Hyderabad,1,37,23999.02,0.722,459,0,0,0,Electronics,0
133,18150,4567,12857.39,2024-06-19 13:04:00,POS,Branch,526443,192.168.242.140,Chennai,7,4,39008.21,0.93,4281,1,0,0,Travel,0
134,60328,3448,37466.41,2024-12-09 16:29:00,UPI,Mobile,682259,192.168.65.96,Mumbai,7,32,49987.21,0.686,1858,1,0,0,Others,0
135,81541,9639,11253.34,2024-03-12 05:35:00,ATM,Mobile,802758,192.168.197.177,Hyderabad,7,30,35200.15,0.065,454,0,0,0,Travel,0
136,37355,2494,352.48,2024-03-05 15:09:00,UPI,Web,568724,192.168.96.237,Bangalore,8,7,28641.06,0.835,4095,0,0,0,Travel,0
137,64254,2985,2767.93,2024-02-15 08:01:00,ATM,Web,988755,192.168.17.107,Mumbai,1,0,14580.61,0.217,1133,1,0,0,Bills,0
138,12773,3680,29298.65,2024-08-14 14:11:00,UPI,Card,965149,192.168.69.231,Delhi,4,7,36985.35,0.632,3915,1,0,0,Electronics,0
139,41274,1950,24882.52,2024-01-10 07:34:00,NetBanking,Mobile,235183,192.168.48.233,Mumbai,4,27,18727.15,0.933,1643,1,0,0,Travel,0
140,49304,6790,13557.74,2024-10-16 00:59:00,POS,Branch,707556,192.168.189.222,Bangalore,1,35,16378.96,0.685,4046,0,0,0,E-commerce,0
141,98445,5722,377.07,2024-09-24 00:01:00,NetBanking,Card,673964,192.168.96.63,Bangalore,9,11,49780.39,0.432,3606,0,0,0,Bills,0
142,29312,6018,28422.12,2024-09-15 18:31:00,POS,Web,969067,192.168.46.178,Hyderabad,6,29,59087.42,0.399,4517,1,0,0,Food,0
143,34889,9164,40889.45,2024-06-19 21:20:00,UPI,Branch,853226,192.168.25.86,Chennai,3,9,20107.77,0.031,4846,0,0,0,E-commerce,0
144,46767,4897,3473.82,2024-05-29 18:38:00,ATM,Mobile,225856,192.168.112.48,Chennai,7,23,45386.55,0.762,1145,1,0,0,Others,0
145,99338,3801,36836.9,2024-12-08 20:44:00,UPI,Web,287965,192.168.115.117,Chennai,1,36,8399.65,0.031,4234,0,0,0,Food,0
146,86805,4378,31745.4,2024-10-30 04:10:00,UPI,Card,714244,192.168.39.122,Delhi,9,1,9522.65,0.913,527,1,0,0,Food,1
147,13122,8200,23993.77,2024-03-05 12:54:00,NetBanking,Branch,333813,192.168.143.164,Delhi,5,9,44405.03,0.474,118,1,0,0,Others,0
148,31054,5755,2464.65,2024-04-04 10:32:00,NetBanking,Branch,832855,192.168.64.81,Chennai,4,5,10261.58,0.011,2960,1,0,0,E-commerce,0
149,83949,2522,46182.39,2024-03-30 01:17:00,UPI,Card,595691,192.168.237.20,Mumbai,5,15,58740.57,0.549,382,0,0,0,Bills,0
150,15247,7207,23898.18,2024-06-21 14:15:00,ATM,Card,650032,192.168.75.73,Bangalore,3,22,20446.27,0.372,3623,0,0,0,Food,0
151,87009,7709,20010.37,2024-08-21 03:14:00,ATM,Web,866673,192.168.61.208,Pune,4,26,56667.88,0.571,740,0,0,0,Travel,0
152,35324,3249,43080.7,2024-03-21 16:47:00,ATM,Branch,653366,192.168.228.220,Pune,4,33,42472.58,0.032,3622,0,0,0,Bills,0
153,92587,6012,42286.63,2024-01-20 22:16:00,POS,Branch,639940,192.168.49.17,Hyderabad,2,6,23142.56,0.649,402,1,0,0,Grocery,0
154,36423,6072,36376.68,2024-05-20 14:07:00,ATM,Web,240183,192.168.224.51,Delhi,6,25,48672.61,0.488,4218,0,0,0,Food,0
155,49088,2574,41476.53,2024-07-02 17:54:00,NetBanking,Mobile,871252,192.168.202.15,Bangalore,1,32,16104.4,0.681,4144,1,0,0,Others,0
156,69571,1082,6260.21,2024-09-02 09:44:00,UPI,Card,389093,192.168.154.127,Mumbai,4,19,47347.94,0.11,2402,0,0,0,Travel,0
157,21365,7462,38057.73,2024-02-15 02:34:00,POS,Mobile,351530,192.168.221.44,Pune,8,24,19086.34,0.981,1686,0,0,0,Food,1
158,60132,6538,16435.3,2024-09-08 14:00:00,POS,Web,669295,192.168.19.198,Delhi,7,36,4099.33,0.391,4443,0,0,0,E-commerce,0
159,55450,7423,43381.36,2024-02-28 21:50:00,POS,Mobile,218116,192.168.96.209,Hyderabad,3,36,31507.9,0.677,925,0,0,0,Grocery,0
160,80550,4395,18543.06,2024-04-17 00:51:00,POS,Card,525707,192.168.72.126,Delhi,5,2,49013.93,0.077,2991,1,0,0,Others,0
161,99648,5638,2762.48,2024-07-05 21:59:00,POS,Mobile,690650,192.168.138.118,Bangalore,0,24,5208.93,0.529,2601,0,0,0,Electronics,0
162,69787,9834,20748.29,2024-02-08 08:31:00,UPI,Web,876730,192.168.159.136,Chennai,9,5,50194.19,0.046,4511,0,0,0,Electronics,0
163,46826,3028,37851.01,2024-07-26 17:03:00,NetBanking,Card,302753,192.168.108.61,Pune,2,0,12429.97,0.503,4190,0,0,0,E-commerce,0
164,46574,6874,25071.56,2024-01-15 02:13:00,ATM,Card,799559,192.168.44.176,Pune,1,9,52096.59,0.597,3818,0,0,0,Others,0
165,47615,2190,38193.51,2024-03-18 09:25:00,UPI,Mobile,821034,192.168.230.172,Bangalore,9,7,46048.85,0.877,1086,0,0,0,Bills,1
166,83261,1591,1811.92,2024-07-25 12:47:00,POS,Branch,581443,192.168.37.36,Delhi,3,0,23633.76,0.653,4000,0,0,0,Electronics,0
167,38909,9614,8899.35,2024-04-09 00:03:00,POS,Web,888224,192.168.103.78,Chennai,2,19,28407.96,0.379,1086,1,0,0,Others,0
168,25027,2168,28202.22,2024-06-06 21:41:00,ATM,Web,650689,192.168.56.121,Delhi,0,17,33382.87,0.825,1911,1,0,0,Grocery,0
169,40085,6901,19296.42,2024-04-13 16:46:00,UPI,Card,349749,192.168.125.232,Delhi,4,19,26262.82,0.448,1906,1,0,0,Travel,0
170,12044,5627,34024.78,2024-07-01 14:58:00,NetBanking,Branch,690727,192.168.199.41,Pune,8,15,42688.58,0.516,3766,1,0,0,Food,1
171,19552,8282,48129.58,2024-02-21 18:15:00,NetBanking,Mobile,657640,192.168.147.18,Chennai,1,24,55314.37,0.29,3365,0,0,0,Electronics,0
172,18104,5918,33010.1,2024-02-26 19:07:00,ATM,Card,689694,192.168.253.33,Chennai,7,5,52474.57,0.527,2657,0,0,0,E-commerce,0
173,79438,7272,20897.28,2024-12-18 11:42:00,ATM,Web,243784,192.168.241.59,Delhi,1,8,18824.28,0.703,3703,1,0,0,Food,0
174,75011,9046,27141.08,2024-05-01 05:06:00,NetBanking,Card,726470,192.168.253.155,Chennai,8,2,42471.17,0.392,740,0,0,0,Bills,0
175,72708,8464,45645.68,2024-09-09 15:40:00,ATM,Card,870491,192.168.141.7,Hyderabad,3,12,34643.04,0.087,1744,0,0,0,Others,0
